,ObservationID,Date_Time,Site_ID,NOx,NO2,NO,PM10,O3,Temperature,ObjectId,ObjectId2,NVPM10,VPM10,NVPM2_5,PM2_5,VPM2_5,CO,RH,Pressure,SO2
520832,520832,2015-01-01 00:00:00,463.0,,,,,,,,514193,,,,,,,,,
520826,520826,2015-01-01 00:00:00,375.0,41.0,24.5,11.0,,,,,352550,,,,,,,,,
520827,520827,2015-01-01 00:00:00,215.0,23.75,19.5,2.75,,,,,854561,,,,,,,,,
520831,520831,2015-01-01 00:00:00,270.0,41.75,22.75,12.25,,,,,514191,,,,,,,,,
520829,520829,2015-01-01 00:00:00,452.0,11.3315601348877,10.0393495559692,0.842760026454926,28.1000003814697,53.1521415710449,,,1041709,24.1,4.0,19.1,24.3999996185303,5.3,,,,
520830,520830,2015-01-01 00:00:00,206.0,328.0,97.5,150.25,,,,,630431,,,,,,,,,
520828,520828,2015-01-01 00:00:00,203.0,21.75,14.0,5.0,,,,,854559,,,,,,,,,
520825,520825,2015-01-01 01:00:00,452.0,15.1648502349854,12.7429895401001,1.57949995994568,22.7000007629395,50.2417488098145,,,1378080,18.9,3.8,11.1,14.6999998092651,3.6,,,,
520824,520824,2015-01-01 01:00:00,215.0,25.0,20.25,3.0,,,,,352547,,,,,,,,,
520823,520823,2015-01-01 01:00:00,270.0,28.5,13.5,9.5,,,,,352548,,,,,,,,,
520822,520822,2015-01-01 01:00:00,463.0,,,,,,,,352549,,,,,,,,,
520821,520821,2015-01-01 01:00:00,203.0,17.25,11.0,4.25,,,,,240087,,,,,,,,,
520820,520820,2015-01-01 01:00:00,375.0,49.5,27.0,14.5,,,,,1378078,,,,,,,,,
520819,520819,2015-01-01 01:00:00,206.0,272.0,85.25,122.0,,,,,854557,,,,,,,,,
520812,520812,2015-01-01 02:00:00,463.0,,,,,,,,1378076,,,,,,,,,
520813,520813,2015-01-01 02:00:00,270.0,42.75,18.75,15.5,,,,,1041705,,,,,,,,,
520814,520814,2015-01-01 02:00:00,203.0,19.75,13.25,4.25,,,,,151923,,,,,,,,,
520818,520818,2015-01-01 02:00:00,375.0,66.25,31.75,22.75,,,,,1041707,,,,,,,,,
520816,520816,2015-01-01 02:00:00,452.0,19.3721904754639,16.9504909515381,1.57939004898071,22.2999992370605,46.9488410949707,,,240085,19.8,2.5,12.5,16.0,3.5,,,,
520817,520817,2015-01-01 02:00:00,215.0,27.5,22.0,3.75,,,,,854555,,,,,,,,,
520815,520815,2015-01-01 02:00:00,206.0,272.75,79.0,126.25,,,,,240083,,,,,,,,,
520806,520806,2015-01-01 03:00:00,375.0,75.5,37.5,24.5,,,,,630425,,,,,,,,,
520805,520805,2015-01-01 03:00:00,270.0,49.5,24.75,16.25,,,,,1378072,,,,,,,,,
520807,520807,2015-01-01 03:00:00,463.0,,,,,,,,1378074,,,,,,,,,
520811,520811,2015-01-01 03:00:00,206.0,277.25,80.0,128.25,,,,,352546,,,,,,,,,
520809,520809,2015-01-01 03:00:00,203.0,22.25,14.25,5.0,,,,,854553,,,,,,,,,
520810,520810,2015-01-01 03:00:00,215.0,23.0,19.0,2.75,,,,,630422,,,,,,,,,
520808,520808,2015-01-01 03:00:00,452.0,16.7477607727051,13.9622097015381,1.81668996810913,25.5,51.4890594482422,,,630428,22.1,3.4,11.7,15.5,3.8,,,,
520804,520804,2015-01-01 04:00:00,375.0,75.75,37.75,24.5,,,,,352545,,,,,,,,,
520803,520803,2015-01-01 04:00:00,463.0,,,,,,,,151922,,,,,,,,,
520802,520802,2015-01-01 04:00:00,452.0,18.3729095458984,12.6808300018311,3.71228003501892,21.7999992370605,53.9836883544922,,,1041703,18.1,3.7,9.6,13.3999996185303,3.8,,,,
520801,520801,2015-01-01 04:00:00,270.0,40.0,21.5,12.0,,,,,514189,,,,,,,,,
520800,520800,2015-01-01 04:00:00,203.0,14.75,10.75,3.0,,,,,352542,,,,,,,,,
520799,520799,2015-01-01 04:00:00,215.0,18.0,15.5,1.5,,,,,352544,,,,,,,,,
520798,520798,2015-01-01 04:00:00,206.0,204.0,67.25,89.0,,,,,352543,,,,,,,,,
520791,520791,2015-01-01 05:00:00,215.0,13.25,12.25,0.5,,,,,854551,,,,,,,,,
520792,520792,2015-01-01 05:00:00,375.0,43.25,23.25,13.0,,,,,240079,,,,,,,,,
520793,520793,2015-01-01 05:00:00,463.0,,,,,,,,240081,,,,,,,,,
520797,520797,2015-01-01 05:00:00,270.0,40.0,17.75,14.5,,,,,1041701,,,,,,,,,
520795,520795,2015-01-01 05:00:00,206.0,187.25,66.0,78.75,,,,,151921,,,,,,,,,
520796,520796,2015-01-01 05:00:00,203.0,12.75,9.5,2.25,,,,,151920,,,,,,,,,
520794,520794,2015-01-01 05:00:00,452.0,14.9978303909302,9.91104984283447,3.31750988960266,20.0,57.077018737793,,,352541,15.3,4.7,8.3,11.8000001907349,3.5,,,,
520790,520790,2015-01-01 06:00:00,215.0,15.5,12.75,1.5,,,,,240075,,,,,,,,,
520789,520789,2015-01-01 06:00:00,203.0,10.75,7.75,1.75,,,,,630416,,,,,,,,,
520788,520788,2015-01-01 06:00:00,206.0,116.5,46.5,45.75,,,,,240073,,,,,,,,,
520787,520787,2015-01-01 06:00:00,452.0,11.7484903335571,8.47859001159668,2.13257002830505,15.1999998092651,58.9729385375977,,,240077,11.4,3.8,5.4,7.5,2.1,,,,
520786,520786,2015-01-01 06:00:00,375.0,46.25,25.75,13.25,,,,,1378070,,,,,,,,,
520785,520785,2015-01-01 06:00:00,463.0,,,,,,,,630419,,,,,,,,,
520784,520784,2015-01-01 06:00:00,270.0,22.5,13.5,6.0,,,,,514187,,,,,,,,,
520777,520777,2015-01-01 07:00:00,463.0,,,,,,,,514185,,,,,,,,,
520779,520779,2015-01-01 07:00:00,270.0,15.5,9.25,4.0,,,,,352540,,,,,,,,,
520778,520778,2015-01-01 07:00:00,215.0,23.25,17.75,3.75,,,,,514183,,,,,,,,,
520781,520781,2015-01-01 07:00:00,375.0,27.5,18.25,6.0,,,,,630410,,,,,,,,,
520782,520782,2015-01-01 07:00:00,452.0,10.2486095428467,7.46353006362915,1.8163800239563,12.1000003814697,61.2181015014648,,,630413,10.2,1.9,5.4,7.40000009536743,2.0,,,,
520783,520783,2015-01-01 07:00:00,206.0,112.0,44.5,44.0,,,,,240071,,,,,,,,,
520780,520780,2015-01-01 07:00:00,203.0,10.75,7.75,2.0,,,,,1378068,,,,,,,,,
520770,520770,2015-01-01 08:00:00,215.0,21.25,16.75,3.25,,,,,854549,,,,,,,,,
520772,520772,2015-01-01 08:00:00,270.0,34.75,17.5,11.0,,,,,514179,,,,,,,,,
520771,520771,2015-01-01 08:00:00,375.0,37.0,21.0,10.5,,,,,151919,,,,,,,,,
520774,520774,2015-01-01 08:00:00,203.0,8.5,6.5,1.5,,,,,854547,,,,,,,,,
520775,520775,2015-01-01 08:00:00,463.0,,,,,,,,514181,,,,,,,,,
520773,520773,2015-01-01 08:00:00,452.0,10.7482500076294,7.23593997955322,2.2906699180603,14.1999998092651,59.1226081848145,,,1041699,12.2,2.0,6.0,8.30000019073486,2.3,,,,
520776,520776,2015-01-01 08:00:00,206.0,66.0,31.75,22.5,,,,,1378066,,,,,,,,,
520763,520763,2015-01-01 09:00:00,270.0,51.25,38.0,8.5,,,,,854545,,,,,,,,,
520769,520769,2015-01-01 09:00:00,203.0,10.0,7.25,2.0,,,,,151918,,,,,,,,,
520768,520768,2015-01-01 09:00:00,463.0,,,,,,,,352539,,,,,,,,,
520767,520767,2015-01-01 09:00:00,452.0,10.623459815979,7.35404014587402,2.13226008415222,16.7000007629395,57.775520324707,,,1041697,12.4,4.3,6.6,10.1000003814697,3.5,,,,
520766,520766,2015-01-01 09:00:00,375.0,41.75,26.75,9.5,,,,,1041695,,,,,,,,,
520765,520765,2015-01-01 09:00:00,206.0,70.75,31.0,26.25,,,,,240069,,,,,,,,,
520764,520764,2015-01-01 09:00:00,215.0,20.75,16.5,3.0,,,,,514177,,,,,,,,,
520757,520757,2015-01-01 10:00:00,270.0,37.25,21.5,10.25,,,,,1041693,,,,,,,,,
520756,520756,2015-01-01 10:00:00,215.0,19.25,15.75,2.5,,,,,854543,,,,,,,,,
520758,520758,2015-01-01 10:00:00,206.0,100.0,39.25,39.5,,,,,151917,,,,,,,,,
520762,520762,2015-01-01 10:00:00,203.0,11.0,7.75,2.25,,,,,1378064,,,,,,,,,
520760,520760,2015-01-01 10:00:00,452.0,13.8732795715332,10.1190395355225,2.44845008850098,12.1999998092651,55.6301383972168,,,240067,9.1,3.1,5.5,9.19999980926514,3.7,,,,
520761,520761,2015-01-01 10:00:00,463.0,,,,,,,,630407,,,,,,,,,
520759,520759,2015-01-01 10:00:00,375.0,47.0,29.75,11.25,,,,,240065,,,,,,,,,
520755,520755,2015-01-01 11:00:00,270.0,64.75,28.5,23.75,,,,,1378060,,,,,,,,,
520754,520754,2015-01-01 11:00:00,463.0,,,,,,,,1378062,,,,,,,,,
520753,520753,2015-01-01 11:00:00,203.0,13.5,9.75,2.5,,,,,1041689,,,,,,,,,
520752,520752,2015-01-01 11:00:00,375.0,62.25,35.25,17.5,,,,,854541,,,,,,,,,
520751,520751,2015-01-01 11:00:00,452.0,14.9973497390747,11.1216697692871,2.52765011787415,13.3999996185303,56.3286285400391,,,352538,7.7,5.7,4.8,10.1999998092651,5.4,,,,
520750,520750,2015-01-01 11:00:00,206.0,110.25,42.25,44.25,,,,,151916,,,,,,,,,
520749,520749,2015-01-01 11:00:00,215.0,24.75,19.5,3.75,,,,,1041691,,,,,,,,,
520742,520742,2015-01-01 12:00:00,206.0,140.5,49.5,59.25,,,,,151915,,,,,,,,,
520743,520743,2015-01-01 12:00:00,203.0,23.0,15.25,5.0,,,,,1378056,,,,,,,,,
520744,520744,2015-01-01 12:00:00,375.0,77.75,42.5,23.25,,,,,1378058,,,,,,,,,
520748,520748,2015-01-01 12:00:00,463.0,,,,,,,,514175,,,,,,,,,
520746,520746,2015-01-01 12:00:00,270.0,95.75,48.75,30.0,,,,,240063,,,,,,,,,
520747,520747,2015-01-01 12:00:00,215.0,29.75,22.75,4.5,,,,,240061,,,,,,,,,
520745,520745,2015-01-01 12:00:00,452.0,15.2478799819946,11.4941301345825,2.44813990592957,13.5,57.9750900268555,,,854539,7.1,6.4,3.3,9.5,6.2,,,,
520736,520736,2015-01-01 13:00:00,452.0,15.2478799819946,11.1297903060913,2.68575000762939,11.3000001907349,59.0228309631348,,,1041687,7.8,3.5,3.7,7.69999980926514,4.0,,,,
520735,520735,2015-01-01 13:00:00,203.0,26.0,16.0,6.5,,,,,352536,,,,,,,,,
520737,520737,2015-01-01 13:00:00,206.0,121.75,47.5,48.0,,,,,514173,,,,,,,,,
520741,520741,2015-01-01 13:00:00,463.0,,,,,,,,151914,,,,,,,,,
520739,520739,2015-01-01 13:00:00,270.0,82.0,33.0,31.75,,,,,151913,,,,,,,,,
520740,520740,2015-01-01 13:00:00,215.0,35.5,25.75,6.25,,,,,1378054,,,,,,,,,
520738,520738,2015-01-01 13:00:00,375.0,80.5,44.0,23.5,,,,,352537,,,,,,,,,
520734,520734,2015-01-01 14:00:00,375.0,83.0,45.75,24.25,,,,,151912,,,,,,,,,
520733,520733,2015-01-01 14:00:00,452.0,13.9980697631836,11.2129898071289,1.8163800239563,6.90000009536743,61.2181015014648,,,854537,4.3,2.6,3.3,7.69999980926514,4.4,,,,
520732,520732,2015-01-01 14:00:00,203.0,22.5,14.0,5.5,,,,,1378050,,,,,,,,,
520731,520731,2015-01-01 14:00:00,206.0,162.0,56.0,69.0,,,,,240055,,,,,,,,,
520730,520730,2015-01-01 14:00:00,215.0,32.5,25.0,4.75,,,,,240057,,,,,,,,,
520729,520729,2015-01-01 14:00:00,270.0,78.75,39.5,25.5,,,,,240059,,,,,,,,,
520728,520728,2015-01-01 14:00:00,463.0,,,,,,,,1378052,,,,,,,,,
520722,520722,2015-01-01 15:00:00,270.0,45.0,19.5,16.5,,,,,630401,,,,,,,,,
520721,520721,2015-01-01 15:00:00,203.0,23.0,13.5,6.25,,,,,630398,,,,,,,,,
520723,520723,2015-01-01 15:00:00,463.0,,,,,,,,630404,,,,,,,,,
520727,520727,2015-01-01 15:00:00,206.0,128.0,48.0,52.0,,,,,1378044,,,,,,,,,
520725,520725,2015-01-01 15:00:00,452.0,14.123330116272,10.1266899108887,2.60654997825623,10.6999998092651,62.1161613464355,,,1378048,5.9,4.8,3.1,7.90000009536743,4.8,,,,
520726,520726,2015-01-01 15:00:00,215.0,28.0,22.75,3.5,,,,,1378046,,,,,,,,,
520724,520724,2015-01-01 15:00:00,375.0,83.0,45.75,24.25,,,,,352535,,,,,,,,,
520720,520720,2015-01-01 16:00:00,375.0,72.75,38.25,22.5,,,,,151911,,,,,,,,,
520719,520719,2015-01-01 16:00:00,206.0,118.25,47.0,46.75,,,,,1378042,,,,,,,,,
520718,520718,2015-01-01 16:00:00,452.0,11.6237001419067,8.35428047180176,2.13226008415222,14.5,63.0142288208008,,,1041685,10.7,3.8,6.3,11.3000001907349,5.0,,,,
520717,520717,2015-01-01 16:00:00,215.0,27.25,21.0,3.75,,,,,1041683,,,,,,,,,
520716,520716,2015-01-01 16:00:00,203.0,26.75,16.0,7.0,,,,,1041681,,,,,,,,,
520715,520715,2015-01-01 16:00:00,270.0,38.0,16.0,14.5,,,,,514171,,,,,,,,,
520714,520714,2015-01-01 16:00:00,463.0,,,,,,,,854535,,,,,,,,,
520707,520707,2015-01-01 17:00:00,452.0,12.2486095428467,9.82738018035889,1.57907998561859,13.0,61.7170181274414,,,1378040,9.0,4.0,4.1,9.5,5.4,,,,
520708,520708,2015-01-01 17:00:00,215.0,21.75,18.5,2.25,,,,,151910,,,,,,,,,
520709,520709,2015-01-01 17:00:00,203.0,17.75,11.75,3.75,,,,,514169,,,,,,,,,
520711,520711,2015-01-01 17:00:00,206.0,110.5,41.5,44.75,,,,,854533,,,,,,,,,
520712,520712,2015-01-01 17:00:00,270.0,51.5,18.5,21.5,,,,,1041679,,,,,,,,,
520713,520713,2015-01-01 17:00:00,375.0,72.75,38.75,22.25,,,,,630395,,,,,,,,,
520710,520710,2015-01-01 17:00:00,463.0,,,,,,,,352534,,,,,,,,,
520706,520706,2015-01-01 18:00:00,206.0,118.5,42.5,49.5,,,,,151908,,,,,,,,,
520705,520705,2015-01-01 18:00:00,215.0,22.0,18.75,2.25,,,,,151909,,,,,,,,,
520704,520704,2015-01-01 18:00:00,203.0,21.75,14.75,4.75,,,,,1378038,,,,,,,,,
520703,520703,2015-01-01 18:00:00,270.0,72.5,33.0,25.75,,,,,1041677,,,,,,,,,
520702,520702,2015-01-01 18:00:00,463.0,,,,,,,,630392,,,,,,,,,
520701,520701,2015-01-01 18:00:00,375.0,72.0,39.75,21.25,,,,,630389,,,,,,,,,
520700,520700,2015-01-01 18:00:00,452.0,11.1231002807617,8.33802032470703,1.8163800239563,9.0,62.8645515441895,,,514167,6.0,3.0,1.9,6.59999990463257,4.7,,,,
520694,520694,2015-01-01 19:00:00,206.0,102.5,38.0,42.25,,,,,630386,,,,,,,,,
520693,520693,2015-01-01 19:00:00,452.0,9.12405967712402,6.94476985931396,1.4213000535965,4.40000009536743,63.1639099121094,,,240053,2.3,2.1,1.5,3.90000009536743,2.4,,,,
520695,520695,2015-01-01 19:00:00,270.0,58.25,24.75,21.75,,,,,352533,,,,,,,,,
520699,520699,2015-01-01 19:00:00,375.0,63.5,36.25,18.0,,,,,854531,,,,,,,,,
520697,520697,2015-01-01 19:00:00,215.0,21.0,18.0,1.75,,,,,854529,,,,,,,,,
520696,520696,2015-01-01 19:00:00,203.0,18.25,12.0,4.0,,,,,1041675,,,,,,,,,
520698,520698,2015-01-01 19:00:00,463.0,,,,,,,,151907,,,,,,,,,
520692,520692,2015-01-01 20:00:00,452.0,10.623459815979,8.20127964019775,1.57971000671387,6.0,60.7191696166992,,,514165,3.1,2.9,0.9,5.0,4.1,,,,
520691,520691,2015-01-01 20:00:00,206.0,,26.75,,,,,,1041671,,,,,,,,,
520690,520690,2015-01-01 20:00:00,463.0,,,,,,,,1041673,,,,,,,,,
520689,520689,2015-01-01 20:00:00,215.0,16.75,15.25,1.25,,,,,240051,,,,,,,,,
520688,520688,2015-01-01 20:00:00,203.0,12.75,9.25,2.25,,,,,151905,,,,,,,,,
520687,520687,2015-01-01 20:00:00,270.0,46.5,22.75,15.5,,,,,151906,,,,,,,,,
520686,520686,2015-01-01 20:00:00,375.0,52.0,30.0,14.25,,,,,630383,,,,,,,,,
520679,520679,2015-01-01 21:00:00,215.0,16.5,15.0,0.75,,,,,352532,,,,,,,,,
520680,520680,2015-01-01 21:00:00,452.0,10.2481298446655,7.22064018249512,1.97448003292084,3.70000004768372,60.8688507080078,,,151904,1.7,2.0,-0.8,2.79999995231628,3.6,,,,
520681,520681,2015-01-01 21:00:00,375.0,53.5,31.75,14.0,,,,,854527,,,,,,,,,
520684,520684,2015-01-01 21:00:00,270.0,44.25,25.25,12.25,,,,,240049,,,,,,,,,
520683,520683,2015-01-01 21:00:00,206.0,,28.25,,,,,,1041669,,,,,,,,,
520685,520685,2015-01-01 21:00:00,203.0,11.75,8.5,2.5,,,,,630380,,,,,,,,,
520682,520682,2015-01-01 21:00:00,463.0,,,,,,,,514163,,,,,,,,,
520673,520673,2015-01-01 22:00:00,463.0,,,,,,,,630377,,,,,,,,,
520672,520672,2015-01-01 22:00:00,206.0,,24.75,,,,,,514159,,,,,,,,,
520674,520674,2015-01-01 22:00:00,203.0,10.75,7.75,2.0,,,,,854525,,,,,,,,,
520677,520677,2015-01-01 22:00:00,375.0,42.0,26.25,10.25,,,,,1378034,,,,,,,,,
520676,520676,2015-01-01 22:00:00,452.0,10.1233396530151,7.8225998878479,1.50049996376038,5.40000009536743,59.6215400695801,,,1378036,2.2,3.2,-0.3,3.70000004768372,4.0,,,,
520678,520678,2015-01-01 22:00:00,215.0,15.0,13.75,1.25,,,,,514161,,,,,,,,,
520675,520675,2015-01-01 22:00:00,270.0,26.5,13.0,8.75,,,,,240047,,,,,,,,,
520671,520671,2015-01-01 23:00:00,206.0,,22.5,,,,,,1041665,,,,,,,,,
520670,520670,2015-01-01 23:00:00,375.0,32.25,22.25,6.75,,,,,1041667,,,,,,,,,
520669,520669,2015-01-01 23:00:00,463.0,,,,,,,,514157,,,,,,,,,
520668,520668,2015-01-01 23:00:00,203.0,9.5,7.0,1.5,,,,,514155,,,,,,,,,
520667,520667,2015-01-01 23:00:00,270.0,17.5,9.75,5.25,,,,,151903,,,,,,,,,
520666,520666,2015-01-01 23:00:00,452.0,6.49914979934692,4.92468976974487,1.02683997154236,3.0,60.1204605102539,,,854523,1.6,1.4,-0.4,2.09999990463257,2.5,,,,
520665,520665,2015-01-01 23:00:00,215.0,13.0,12.0,0.5,,,,,240045,,,,,,,,,
520659,520659,2015-01-02 00:00:00,270.0,14.5,8.25,4.0,,,,,352529,,,,,,,,,
520658,520658,2015-01-02 00:00:00,215.0,12.25,11.5,0.5,,,,,854521,,,,,,,,,
520660,520660,2015-01-02 00:00:00,452.0,5.50609016418457,3.72810006141663,1.15956997871399,2.79999995231628,63.7293510437012,,,352530,0.9,1.9,-1.7,2.59999990463257,4.3,,,,
520663,520663,2015-01-02 00:00:00,463.0,,,,,,,,352531,,,,,,,,,
520662,520662,2015-01-02 00:00:00,375.0,35.25,21.0,9.0,,,,,1378032,,,,,,,,,
520661,520661,2015-01-02 00:00:00,203.0,6.25,4.75,0.75,,,,,630374,,,,,,,,,
520664,520664,2015-01-02 00:00:00,206.0,,35.0,,,,,,854519,,,,,,,,,
520656,520656,2015-01-02 01:00:00,215.0,10.25,9.75,0.25,,,,,240041,,,,,,,,,
520655,520655,2015-01-02 01:00:00,463.0,,,,,,,,151902,,,,,,,,,
520654,520654,2015-01-02 01:00:00,452.0,4.50458002090454,3.21173000335693,0.843180000782013,7.69999980926514,69.4503631591797,,,151901,5.2,2.5,0.9,2.0,1.1,,,,
520653,520653,2015-01-02 01:00:00,270.0,8.75,6.25,2.0,,,,,1041663,,,,,,,,,
520652,520652,2015-01-02 01:00:00,206.0,,27.25,,,,,,1041661,,,,,,,,,
520651,520651,2015-01-02 01:00:00,375.0,10.5,7.0,2.25,,,,,240043,,,,,,,,,
520657,520657,2015-01-02 01:00:00,203.0,5.25,4.0,1.0,,,,,240039,,,,,,,,,
520644,520644,2015-01-02 02:00:00,270.0,8.0,6.75,1.0,,,,,240037,,,,,,,,,
520646,520646,2015-01-02 02:00:00,206.0,,22.75,,,,,,352527,,,,,,,,,
520645,520645,2015-01-02 02:00:00,452.0,6.75685977935791,5.42336988449097,0.869679987430573,14.8000001907349,68.1531600952148,,,514153,13.5,1.3,4.9,6.0,1.1,,,,
520648,520648,2015-01-02 02:00:00,215.0,10.5,10.0,0.25,,,,,854517,,,,,,,,,
520649,520649,2015-01-02 02:00:00,203.0,5.25,4.0,1.0,,,,,352526,,,,,,,,,
520650,520650,2015-01-02 02:00:00,375.0,9.25,7.75,1.0,,,,,630371,,,,,,,,,
520647,520647,2015-01-02 02:00:00,463.0,,,,,,,,352528,,,,,,,,,
520643,520643,2015-01-02 03:00:00,215.0,14.75,13.75,0.75,,,,,240035,,,,,,,,,
520642,520642,2015-01-02 03:00:00,452.0,6.50727987289429,5.17378997802734,0.869679987430573,20.6000003814697,66.8559494018555,,,854515,16.9,3.7,8.2,12.3999996185303,4.2,,,,
520641,520641,2015-01-02 03:00:00,375.0,13.0,9.75,2.0,,,,,854513,,,,,,,,,
520640,520640,2015-01-02 03:00:00,270.0,14.75,12.0,1.5,,,,,854511,,,,,,,,,
520639,520639,2015-01-02 03:00:00,206.0,,8.75,,,,,,854509,,,,,,,,,
520638,520638,2015-01-02 03:00:00,203.0,7.0,6.5,0.5,,,,,1041657,,,,,,,,,
520637,520637,2015-01-02 03:00:00,463.0,,,,,,,,1041659,,,,,,,,,
520630,520630,2015-01-02 04:00:00,203.0,8.25,6.5,1.25,,,,,514149,,,,,,,,,
520631,520631,2015-01-02 04:00:00,206.0,,7.25,,,,,,630368,,,,,,,,,
520632,520632,2015-01-02 04:00:00,463.0,,,,,,,,854507,,,,,,,,,
520634,520634,2015-01-02 04:00:00,270.0,17.0,15.75,0.75,,,,,151899,,,,,,,,,
520635,520635,2015-01-02 04:00:00,375.0,10.75,8.5,1.5,,,,,151900,,,,,,,,,
520636,520636,2015-01-02 04:00:00,452.0,6.13100004196167,4.43365001678467,1.10697996616364,8.60000038146973,69.6000366210938,,,352525,4.3,4.3,0.7,4.30000019073486,3.6,,,,
520633,520633,2015-01-02 04:00:00,215.0,13.75,13.0,0.5,,,,,514151,,,,,,,,,
520629,520629,2015-01-02 05:00:00,375.0,20.25,13.75,4.25,,,,,514147,,,,,,,,,
520628,520628,2015-01-02 05:00:00,215.0,12.75,11.75,0.5,,,,,854503,,,,,,,,,
520627,520627,2015-01-02 05:00:00,463.0,,,,,,,,854505,,,,,,,,,
520626,520626,2015-01-02 05:00:00,203.0,12.75,10.25,1.25,,,,,151897,,,,,,,,,
520625,520625,2015-01-02 05:00:00,206.0,34.0,11.0,14.6700000762939,,,,,151898,,,,,,,,,
520624,520624,2015-01-02 05:00:00,452.0,7.50752019882202,5.08246994018555,1.58158004283905,6.0,68.6021881103516,,,1378030,7.6,-1.6,2.5,2.0,-0.5,,,,
520623,520623,2015-01-02 05:00:00,270.0,11.25,8.75,1.75,,,,,352524,,,,,,,,,
520616,520616,2015-01-02 06:00:00,463.0,,,,,,,,151896,,,,,,,,,
520617,520617,2015-01-02 06:00:00,215.0,17.75,15.75,1.5,,,,,151895,,,,,,,,,
520618,520618,2015-01-02 06:00:00,270.0,18.75,12.0,4.25,,,,,352523,,,,,,,,,
520622,520622,2015-01-02 06:00:00,375.0,25.0,15.75,6.0,,,,,630365,,,,,,,,,
520620,520620,2015-01-02 06:00:00,206.0,55.75,18.0,24.5,,,,,352522,,,,,,,,,
520621,520621,2015-01-02 06:00:00,203.0,23.75,17.25,4.5,,,,,352521,,,,,,,,,
520619,520619,2015-01-02 06:00:00,452.0,10.635890007019,8.33228015899658,1.50236999988556,11.1999998092651,66.656379699707,,,1041655,8.1,3.1,2.8,5.09999990463257,2.3,,,,
520610,520610,2015-01-02 07:00:00,375.0,43.5,25.25,12.0,,,,,1041653,,,,,,,,,
520609,520609,2015-01-02 07:00:00,215.0,20.5,17.5,1.75,,,,,240033,,,,,,,,,
520611,520611,2015-01-02 07:00:00,206.0,230.5,50.0,117.5,,,,,1378028,,,,,,,,,
520615,520615,2015-01-02 07:00:00,203.0,35.25,24.0,7.25,,,,,352520,,,,,,,,,
520613,520613,2015-01-02 07:00:00,452.0,14.1395902633667,10.9868297576904,2.05616998672485,10.6999998092651,65.5587463378906,,,854501,10.7,0.0,4.3,4.90000009536743,0.6,,,,
520614,520614,2015-01-02 07:00:00,270.0,43.5,23.0,13.25,,,,,1041651,,,,,,,,,
520612,520612,2015-01-02 07:00:00,463.0,,,,,,,,514145,,,,,,,,,
520608,520608,2015-01-02 08:00:00,206.0,367.0,83.25,185.0,,,,,151894,,,,,,,,,
520607,520607,2015-01-02 08:00:00,452.0,21.3965702056885,15.5768299102783,3.79553008079529,11.1999998092651,61.0684204101563,,,1041649,12.2,-1.0,6.2,7.0,0.8,,,,
520606,520606,2015-01-02 08:00:00,463.0,,,,,,,,514143,,,,,,,,,
520605,520605,2015-01-02 08:00:00,375.0,31.5,20.75,7.25,,,,,854499,,,,,,,,,
520604,520604,2015-01-02 08:00:00,215.0,32.5,26.75,4.0,,,,,854497,,,,,,,,,
520603,520603,2015-01-02 08:00:00,203.0,71.75,38.75,21.25,,,,,1378026,,,,,,,,,
520602,520602,2015-01-02 08:00:00,270.0,117.75,56.25,40.0,,,,,240031,,,,,,,,,
520596,520596,2015-01-02 09:00:00,215.0,49.0,37.75,7.5,,,,,854495,,,,,,,,,
520595,520595,2015-01-02 09:00:00,463.0,,,,,,,,240029,,,,,,,,,
520597,520597,2015-01-02 09:00:00,206.0,425.75,91.75,218.0,,,,,514141,,,,,,,,,
520601,520601,2015-01-02 09:00:00,203.0,78.5,43.75,22.5,,,,,240027,,,,,,,,,
520599,520599,2015-01-02 09:00:00,452.0,25.1503295898438,17.5113296508789,4.98202991485596,13.3999996185303,58.9729385375977,,,151893,12.3,1.1,5.4,5.30000019073486,-0.1,,,,
520600,520600,2015-01-02 09:00:00,270.0,129.0,54.5,48.75,,,,,352519,,,,,,,,,
520598,520598,2015-01-02 09:00:00,375.0,49.75,31.0,12.25,,,,,151892,,,,,,,,,
520594,520594,2015-01-02 10:00:00,375.0,77.75,43.25,22.5,,,,,630362,,,,,,,,,
520593,520593,2015-01-02 10:00:00,215.0,81.5,53.75,18.25,,,,,352518,,,,,,,,,
520592,520592,2015-01-02 10:00:00,203.0,98.75,51.0,30.75,,,,,151891,,,,,,,,,
520591,520591,2015-01-02 10:00:00,270.0,215.0,93.25,79.25,,,,,1378022,,,,,,,,,
520590,520590,2015-01-02 10:00:00,463.0,,,,,,,,1378024,,,,,,,,,
520589,520589,2015-01-02 10:00:00,452.0,19.0188598632813,13.5624904632568,3.55854988098145,13.1000003814697,61.3178787231445,,,240025,12.4,0.7,4.3,5.40000009536743,1.1,,,,
520588,520588,2015-01-02 10:00:00,206.0,473.75,97.25,245.75,,,,,854493,,,,,,,,,
520581,520581,2015-01-02 11:00:00,206.0,498.75,99.25,260.75,,,,,352517,,,,,,,,,
520582,520582,2015-01-02 11:00:00,463.0,,,,,,,,514139,,,,,,,,,
520583,520583,2015-01-02 11:00:00,452.0,20.3953800201416,14.0903396606445,4.1120400428772,13.5,60.3200302124023,,,1378020,13.7,-0.2,6.1,6.30000019073486,0.2,,,,
